iter	Passed	Remaining
557	372	628
558	372	627
559	373	626
560	373	625
561	373	624
562	374	622
563	374	621
564	375	620
565	375	619
566	376	618
567	376	617
568	376	616
569	377	615
570	377	614
571	378	613
572	378	612
573	378	611
574	379	610
575	379	609
576	380	608
577	380	607
578	381	606
579	381	605
580	381	603
581	382	602
582	382	602
583	383	601
584	383	600
585	384	599
586	384	598
587	384	597
588	385	596
589	385	594
590	386	593
591	386	592
592	387	591
593	387	590
594	387	589
595	388	588
596	388	587
597	389	586
598	389	585
599	389	584
600	390	583
601	390	582
602	390	581
603	391	580
604	391	579
605	391	577
606	392	576
607	392	575
608	392	574
609	393	573
610	393	572
611	393	571
612	394	570
613	394	569
614	395	568
615	395	567
616	396	566
617	396	565
618	396	564
619	397	563
620	397	562
621	397	561
622	398	560
623	398	559
624	398	558
625	399	557
626	399	556
627	399	555
628	400	554
629	400	553
630	400	552
631	401	551
632	401	550
633	402	549
634	402	548
635	403	547
636	403	546
637	403	545
638	404	544
639	404	543
640	404	542
641	405	541
642	405	541
643	406	540
644	406	539
645	407	538
646	407	537
647	407	536
648	408	535
649	408	534
650	409	533
651	409	532
652	409	531
653	410	530
654	410	529
655	410	528
656	411	527
657	411	526
658	411	525
659	412	524
660	412	523
661	412	522
662	413	521
663	413	520
664	414	520
665	414	519
666	414	518
667	415	517
668	415	516
669	415	515
670	416	514
671	416	513
672	417	512
673	417	511
674	418	510
675	418	510
676	418	509
677	419	508
678	419	507
679	420	506
680	420	505
681	421	505
682	421	504
683	421	503
684	422	502
685	422	501
686	422	500
687	423	499
688	423	498
689	423	497
690	424	496
691	424	495
692	424	494
693	425	493
694	425	493
695	426	492
696	426	491
697	426	490
698	427	489
699	427	488
700	428	488
701	429	487
702	429	487
703	430	486
704	430	485
705	430	484
706	431	483
707	431	482
708	432	482
709	432	481
710	432	480
711	433	479
712	433	478
713	433	477
714	434	476
715	434	475
716	434	474
717	435	473
718	435	473
719	435	472
720	436	471
721	436	470
722	436	469
723	437	468
724	437	467
725	437	466
726	438	466
727	438	465
728	439	464
729	439	463
730	440	463
731	440	462
732	441	461
733	441	461
734	442	460
735	442	459
736	442	458
737	443	457
738	443	457
739	444	456
740	444	455
741	445	454
742	445	453
743	445	453
744	446	452
745	446	451
746	447	450
747	447	449
748	447	448
749	448	448
750	448	447
751	448	446
752	449	445
753	449	444
754	449	443
755	450	443
756	450	442
757	451	441
758	451	441
759	452	440
760	452	439
761	453	438
762	453	438
763	454	437
764	454	436
765	454	435
766	455	435
767	455	434
768	456	433
769	456	432
770	457	432
771	457	431
772	457	430
773	458	429
774	458	428
775	458	428
776	459	427
777	459	426
778	459	425
779	460	424
780	460	423
781	460	423
782	461	422
783	461	421
784	462	420
785	462	420
786	462	419
787	463	418
788	463	417
789	464	417
790	464	416
791	464	415
792	465	414
793	465	414
794	466	413
795	466	412
796	467	412
797	467	411
798	467	410
799	468	409
800	468	409
801	469	408
802	469	407
803	469	406
804	470	405
805	470	405
806	470	404
807	471	403
808	471	402
809	471	402
810	472	401
811	472	400
812	473	399
813	473	399
814	473	398
815	474	397
816	475	397
817	475	396
818	475	395
819	476	394
820	476	394
821	476	393
822	477	392
823	477	391
824	477	390
825	478	390
826	478	389
827	478	388
828	479	388
829	479	387
830	480	386
831	480	385
832	480	384
833	481	384
834	481	383
835	481	382
836	482	382
837	482	381
838	482	380
839	483	379
840	483	378
841	484	378
842	484	377
843	484	376
844	485	376
845	485	375
846	486	374
847	486	374
848	486	373
849	487	372
850	487	371
851	488	371
852	488	370
853	488	369
854	489	368
855	489	368
856	489	367
857	490	366
858	490	366
859	490	365
860	491	364
861	491	363
862	492	363
863	492	362
864	493	362
865	493	361
866	494	360
867	494	359
868	494	359
869	495	358
870	495	357
871	495	357
872	496	356
873	496	355
874	497	355
875	497	354
876	498	353
877	498	353
878	498	352
879	499	351
880	499	351
881	500	350
882	500	349
883	500	349
884	501	348
885	501	347
886	502	346
887	502	346
888	502	345
889	503	344
890	503	344
891	504	343
892	504	343
893	505	342
894	505	341
895	506	341
896	506	340
897	507	340
898	507	339
899	508	338
900	508	338
901	509	337
902	509	336
903	509	336
904	510	335
905	510	334
906	511	334
907	511	333
908	511	332
909	512	332
910	512	331
911	513	330
912	513	330
913	513	329
914	514	328
915	514	328
916	515	327
917	515	326
918	516	326
919	516	325
920	516	324
921	517	324
922	517	323
923	518	322
924	518	322
925	519	322
926	520	321
927	520	320
928	521	320
929	521	319
930	522	319
931	522	318
932	522	317
933	523	317
934	523	316
935	524	315
936	524	315
937	524	314
938	525	313
939	525	313
940	525	312
941	526	311
942	526	311
943	527	310
944	527	309
945	528	309
946	528	308
947	528	307
948	529	307
949	529	306
950	530	306
951	530	305
952	531	304
953	531	304
954	532	303
955	533	303
956	533	302
957	533	302
958	534	301
959	534	300
960	534	300
961	535	299
962	535	298
963	536	298
964	536	297
965	536	296
966	537	296
967	537	295
968	538	294
969	538	294
970	539	293
971	539	293
972	540	292
973	540	291
974	541	291
975	541	290
976	542	290
977	543	289
978	543	289
979	543	288
980	544	287
981	544	287
982	545	286
983	545	286
984	546	285
985	547	285
986	547	284
987	547	283
988	548	283
989	548	282
990	549	281
991	549	281
992	549	280
993	550	280
994	550	279
995	551	278
996	551	278
997	551	277
998	552	276
999	552	276
1000	553	275
1001	554	275
1002	554	274
1003	554	274
1004	555	273
1005	555	272
1006	556	272
1007	556	271
1008	556	271
1009	557	270
1010	557	269
1011	558	269
1012	558	268
1013	559	267
1014	559	267
1015	559	266
1016	560	266
1017	560	265
1018	561	264
1019	561	264
1020	561	263
1021	562	262
1022	562	262
1023	563	261
1024	563	261
1025	564	260
1026	564	260
1027	565	259
1028	565	259
1029	566	258
1030	566	257
1031	567	257
1032	567	256
1033	568	256
1034	568	255
1035	568	254
1036	569	254
1037	569	253
1038	569	252
1039	570	252
1040	570	251
1041	570	250
1042	571	250
1043	571	249
1044	571	249
1045	572	248
1046	572	247
1047	573	247
1048	573	246
1049	573	245
1050	574	245
1051	574	244
1052	575	244
1053	575	243
1054	576	243
1055	576	242
1056	577	241
1057	577	241
1058	577	240
1059	578	240
1060	578	239
1061	579	238
1062	579	238
1063	579	237
1064	580	237
1065	580	236
1066	581	235
1067	581	235
1068	581	234
1069	582	233
1070	582	233
1071	582	232
1072	583	232
1073	583	231
1074	583	230
1075	584	230
1076	584	229
1077	585	229
1078	585	228
1079	586	228
1080	587	227
1081	587	227
1082	588	226
1083	588	225
1084	589	225
1085	589	224
1086	589	224
1087	590	223
1088	590	222
1089	590	222
1090	591	221
1091	591	221
1092	592	220
1093	592	219
1094	593	219
1095	593	218
1096	593	218
1097	594	217
1098	594	216
1099	594	216
1100	595	215
1101	595	215
1102	595	214
1103	595	213
1104	596	213
1105	596	212
1106	597	211
1107	597	211
1108	597	210
1109	598	210
1110	598	209
1111	599	209
1112	599	208
1113	600	207
1114	600	207
1115	600	206
1116	601	206
1117	601	205
1118	602	205
1119	602	204
1120	603	203
1121	603	203
1122	603	202
1123	604	202
1124	604	201
1125	604	200
1126	605	200
1127	605	199
1128	605	199
1129	606	198
1130	606	197
1131	606	197
1132	607	196
1133	607	196
1134	607	195
1135	608	194
1136	608	194
1137	608	193
1138	609	193
1139	609	192
1140	610	191
1141	610	191
1142	610	190
1143	611	190
1144	611	189
1145	612	189
1146	612	188
1147	612	187
1148	613	187
1149	613	186
1150	613	186
1151	614	185
1152	614	184
1153	614	184
1154	615	183
1155	615	183
1156	615	182
1157	616	181
1158	616	181
1159	616	180
1160	617	180
1161	617	179
1162	617	179
1163	618	178
1164	618	177
1165	618	177
1166	619	176
1167	619	176
1168	620	175
1169	620	175
1170	620	174
1171	621	173
1172	621	173
1173	622	172
1174	622	172
1175	622	171
1176	623	171
1177	623	170
1178	623	169
1179	624	169
1180	624	168
1181	624	168
1182	625	167
1183	625	166
1184	625	166
1185	626	165
1186	626	165
1187	627	164
1188	627	164
1189	627	163
1190	628	162
1191	628	162
1192	628	161
1193	629	161
1194	629	160
1195	630	160
1196	630	159
1197	630	159
1198	631	158
1199	631	157
1200	631	157
1201	632	156
1202	632	156
1203	633	155
1204	633	155
1205	633	154
1206	634	153
1207	634	153
1208	634	152
1209	635	152
1210	635	151
1211	635	151
1212	636	150
1213	636	149
1214	636	149
1215	637	148
1216	637	148
1217	637	147
1218	638	147
1219	638	146
1220	639	146
1221	639	145
1222	639	144
1223	640	144
1224	640	143
1225	640	143
1226	641	142
1227	641	142
1228	641	141
1229	642	140
1230	642	140
1231	643	139
1232	643	139
1233	644	138
1234	644	138
1235	644	137
1236	645	137
1237	645	136
1238	645	136
1239	646	135
1240	646	134
1241	646	134
1242	647	133
1243	647	133
1244	647	132
1245	648	132
1246	648	131
1247	648	131
1248	649	130
1249	649	129
1250	649	129
1251	650	128
1252	650	128
1253	650	127
1254	651	127
1255	651	126
1256	652	126
1257	652	125
1258	653	125
1259	653	124
1260	654	124
1261	655	123
1262	655	123
1263	656	122
1264	656	121
1265	656	121
1266	657	120
1267	657	120
1268	658	119
1269	658	119
1270	658	118
1271	659	118
1272	659	117
1273	659	117
1274	660	116
1275	660	115
1276	660	115
1277	661	114
1278	661	114
1279	662	113
1280	662	113
1281	662	112
1282	663	112
1283	663	111
1284	663	111
1285	664	110
1286	664	109
1287	664	109
1288	665	108
1289	666	108
1290	666	107
1291	666	107
1292	667	106
1293	667	106
1294	668	105
1295	668	105
1296	668	104
1297	669	104
1298	669	103
1299	669	103
1300	670	102
1301	670	101
1302	670	101
1303	671	100
1304	671	100
1305	671	99
1306	672	99
1307	672	98
1308	672	98
1309	673	97
1310	673	97
1311	673	96
1312	674	96
1313	674	95
1314	674	94
1315	675	94
1316	675	93
1317	676	93
1318	676	92
1319	676	92
1320	677	91
1321	677	91
1322	678	90
1323	678	90
1324	679	89
1325	679	89
1326	680	88
1327	680	88
1328	680	87
1329	681	87
1330	681	86
1331	682	86
1332	682	85
1333	682	84
1334	683	84
1335	683	83
1336	684	83
1337	684	82
1338	684	82
1339	685	81
1340	685	81
1341	686	80
1342	686	80
1343	686	79
1344	687	79
1345	687	78
1346	688	78
1347	688	77
1348	689	77
1349	689	76
1350	690	76
1351	690	75
1352	691	75
1353	691	74
1354	691	74
1355	692	73
1356	692	73
1357	693	72
1358	693	71
1359	694	71
1360	694	70
1361	694	70
1362	695	69
1363	695	69
1364	695	68
1365	696	68
1366	696	67
1367	697	67
1368	697	66
1369	697	66
1370	698	65
1371	698	65
1372	698	64
1373	699	64
1374	700	63
1375	700	63
1376	701	62
1377	701	62
1378	701	61
1379	702	61
1380	702	60
1381	703	60
1382	703	59
1383	703	58
1384	704	58
1385	704	57
1386	704	57
1387	705	56
1388	706	56
1389	706	55
1390	706	55
1391	707	54
1392	707	54
1393	708	53
1394	708	53
1395	708	52
1396	709	52
1397	709	51
1398	710	51
1399	710	50
1400	710	50
1401	711	49
1402	711	49
1403	712	48
1404	712	48
1405	712	47
1406	713	47
1407	713	46
1408	714	46
1409	714	45
1410	715	45
1411	715	44
1412	715	44
1413	716	43
1414	716	43
1415	717	42
1416	717	42
1417	717	41
1418	718	41
1419	718	40
1420	719	39
1421	719	39
1422	720	38
1423	720	38
1424	721	37
1425	721	37
1426	721	36
1427	722	36
1428	722	35
1429	723	35
1430	723	34
1431	724	34
1432	724	33
1433	725	33
1434	725	32
1435	725	32
1436	726	31
1437	726	31
1438	727	30
1439	727	30
1440	727	29
1441	728	29
1442	728	28
1443	729	28
1444	729	27
1445	729	27
1446	730	26
1447	731	26
1448	731	25
1449	731	25
1450	732	24
1451	732	24
1452	733	23
1453	733	23
1454	734	22
1455	734	22
1456	734	21
1457	735	21
1458	735	20
1459	736	20
1460	736	19
1461	737	19
1462	737	18
1463	737	18
1464	738	17
1465	738	17
1466	738	16
1467	739	16
1468	739	15
1469	740	15
1470	740	14
1471	741	14
1472	741	13
1473	741	13
1474	742	12
1475	742	12
1476	743	11
1477	743	11
1478	744	10
1479	744	10
1480	745	9
1481	745	9
1482	746	8
1483	746	8
1484	747	7
1485	747	7
1486	748	6
1487	748	6
1488	749	5
1489	749	5
1490	750	4
1491	750	4
1492	750	3
1493	751	3
1494	751	2
1495	752	2
1496	752	1
1497	752	1
1498	753	0
1499	753	0
